text,true_label,true_label_numeric,predicted_label,predicted_label_numeric,probability_positive,probability_negative,is_correct
keshma darolk mouloudia beyna 🌶,1,1,0,0,0.26438266,0.73561734,False
بركو الستهزاء تع الناس واحشموا شويا ملاك بركاو اشعال نار الفتنه الشعب الواحد اله يهدي مون اخلق,1,1,0,0,0.110354036,0.88964593,False
7🤣,1,1,0,0,0.34082735,0.65917265,False
سمن هز الصحه الجرثومه,1,1,0,0,0.09655424,0.9034458,False
الله يعميكم على الجزائر,1,1,0,0,0.020625735,0.9793743,False
كل واحد وحياتو وواش يحب يسيبورتي هنايا بدا يصماط le doux,1,1,0,0,0.083890475,0.9161095,False
وزير تقول قردقود,1,1,0,0,0.20271473,0.79728526,False
لي سيبورتيو المناطق الناءيه ماشي كعب😂,1,1,0,0,0.1231983,0.8768017,False
عندما يكون تخمامك كيما نتع les enculés يعطينا هذا المنشور,1,1,0,0,0.20997225,0.79002774,False
ih wach dakhalk,1,1,0,0,0.33694685,0.66305315,False
دواسا فارغين زوبعه في فنجان جريقه لابتزاز الاحرار,1,1,0,0,0.14322448,0.8567755,False
ولات يخرج لنا شرذمه جديد😵,1,1,0,0,0.0070502665,0.9929497,False
🙂😉,1,1,0,0,0.34082735,0.65917265,False
نيكوه,1,1,0,0,0.34082735,0.65917265,False
الفاظ قذره يهينونهم او ما نعرف واش انتم فتانون لعبه فيها رابح او خاسر لماذا هذه الالفاظ الله يهدينا او يهديكم,1,1,0,0,0.041207906,0.9587921,False
يقصف يبالي,1,1,0,0,0.32485312,0.6751469,False
لقبايل رجاله عليكم تحيا القبايل,1,1,0,0,0.018169625,0.98183036,False
وناك القضيه الفلسطينيه,1,1,0,0,0.19475327,0.8052467,False
حكمتهم خريه😐😰😫,1,1,0,0,0.32485312,0.6751469,False
شوفيه ليهم اظن تبونهم ايكون رجليك,1,1,0,0,0.35128245,0.6487175,False
وايدكم فييه 🖕😂,1,1,0,0,0.32807982,0.6719202,False
حماره بغله يقره,1,1,0,0,0.19983079,0.8001692,False
كلشي مبروك وعقابهم جيسكوبو,1,1,0,0,0.0025835738,0.99741644,False
مسيره ربراب اتفها الفكره,1,1,0,0,0.32049426,0.6795057,False
لاشك عمل كمشه الجنرالات,1,1,0,0,0.1395884,0.8604116,False
اله لاتربحهم,1,1,0,0,0.09436978,0.90563023,False
jaye7,1,1,0,0,0.34082735,0.65917265,False
وربراب قتال نزار شكون الي دخل الحديد لجلفه والمسيله والبيض واصبحت الجزاءر البلدان مرض السرطان الحظيد المشع المستورد بالمجان اوكرانيا حادثه تشارنوبيل النويه,1,1,0,0,0.07409427,0.9259057,False
😂😁,1,1,0,0,0.34082735,0.65917265,False
الف مبروك 🎉🎊الليله يرقدو مقنوطين ✌🇩🇿,1,1,0,0,0.0015924582,0.99840754,False
متخافوش يشروه لعبيد نتاع الدشره,1,1,0,0,0.35028708,0.6497129,False
wekhtek chekit kayna menha,1,1,0,0,0.15411112,0.84588885,False
