text,true_label,predicted_label,is_correct,prob_non_hate,prob_hate
افضح افعال واقوال العصابات الظالمه والمفسدهتنابح وتالم كلابهم الظاله الذباب,1,0,0,0.516386,0.483614
قناه النهار مصادر موثوقه تءكد يسعد ربراب متورط هجمات سيريلانكا😂,0,1,0,0.496747,0.503253
يا جماعه مافهمت والوا قاستو الرجله النيف يتكلم الدين يقول المنكر الفساد حنا كامل نخافوا ربي نتقوه نتوما كامل تحبوا الغفه الطهاره املا شكون راه يكذب بنات الناس شكون راه يزني البغايا العاهرات تقولولي الشرطه الامن شكون الشرطه شكون ياخي منا علينا كامل جزايرين يحل فموا يبدا بنفسه يتقي اله ربي يهدينا يرفق بينا,1,0,0,0.504722,0.495278
لم تلمسها يا ادمين🤷‍♂️,0,1,0,0.499746,0.500254
بركاو التخلاط وشي هاذ المصطلحات الغريبه قهوي روجي وردي موفي سميو الاشخاص باسماءها وحطو الامور نصابها حبسونا هاذ لهبال,0,1,0,0.487382,0.512618
خاوتي انا راني مبيراطي هاج لا باجمتنخلعوش 😂,0,1,0,0.49564,0.50436
مخروب,0,1,0,0.49323,0.50677
افضل هاتف لاكن ماذ البروسيسور,0,1,0,0.498976,0.501025
جي نتا حلوه يا المازده,1,0,0,0.512387,0.487613
الكعب مود دو,1,0,0,0.508066,0.491934
جيبوها لفريق الوطني,0,1,0,0.486547,0.513453
الكل مع محاربه الفساد والفاسدين المشكوك فيهم ولست متضامن مع ربراب ولا غيره فالمحكمه هي الفاصل,1,0,0,0.52039,0.47961
okay hchon ymak,1,0,0,0.514832,0.485168
هناك عروض اخري وهل بالامكان الاستفاده العرض,0,1,0,0.47214,0.52786
المهم ضربوهلو كيما انت,1,0,0,0.505811,0.494189
تخمامك كيما نتع يعطينا المنشور,1,0,0,0.513311,0.486689
البروبلام يقولولو استاذ فالايف,0,1,0,0.496805,0.503195
كيما اغتاصبوك مين كنت قاصر اومازالو يغتاصبو فيك وانتا تتلذذ,1,0,0,0.502769,0.497231
كلشي مبروك زكاره في عبله الرخاس لي حاكمين الجزاير,1,0,0,0.50098,0.49902
1830,0,1,0,0.484759,0.515241
امير يماه اشرف منك يالقحبه تضلي تلحسي في الكابريات باه يعطوك مصروف يالجعانه خامجه,1,0,0,0.505279,0.494721
استغفر الله واتوب اليه هذا حاب يدير الفتنه برك,1,0,0,0.513598,0.486402
يا سبي فرونسي نيكتلها الحتشون تاع يمات يماها,1,0,0,0.517911,0.482089
او انت تعطيني معلومات,0,1,0,0.490134,0.509866
hna machi monafiqin kima ntouma ya zebi ma nseliwch besah ma 3endnach nifaq wrouh tati yedek fi zeb,1,0,0,0.506416,0.493584
اله يحرق طيز مك ونتا ولد حركي واش كشف تفوه علا ختك وانت اكبر منافك انت تنتمي لي اصحاب الشيته نتا مخبي السم فلعسل,1,0,0,0.520701,0.479299
اقلي بول البعير يل عربي الفايح,1,0,0,0.505829,0.494171
wtizz mok nssitha,1,0,0,0.522561,0.477439
انت برضايتك مديت زك,1,0,0,0.510726,0.489274
ايتها الافعى سامه لعنه الله عليكي الى يوم الدين,1,0,0,0.518235,0.481765
عيبك يا بء لبزازل,1,0,0,0.514803,0.485197
ربي يحفظك ويسترك من كل اذى ربي يرحم امك ان شاءالله ويغفرلها يارب العالمين امين,1,0,0,0.51975,0.48025
مكن صوره,0,1,0,0.49998,0.50002
مادام القبائل مع ربراب فان ربراب مظلوم جيبو حداد لا واحد اخر تشوفو لقبايل كيفاش يبولو عليه,1,0,0,0.513773,0.486227
المشكل ان الدعاره في الجزائر اصبحت في كل مكان في الجامعه لا سيتي السبيطار اخطر دعاره تصرا هي في البرلمان قصر الجمهوريه راك فاهم,1,0,0,0.511558,0.488442
نيك سوه تاع مك يا لي راك تهدر كرهت ربك هدرتك خنزير,1,0,0,0.509387,0.490613
اصل كلمه بوراك تركي,0,1,0,0.497194,0.502806
atfo fik ya kalb,1,0,0,0.500176,0.499824
نشرها غاليه احسن يمدوهالي باطل مخيمات الاجءين يالخاين,1,0,0,0.509456,0.490544
رخس وين صبوه,1,0,0,0.508596,0.491404
رساله لصباح حبسي لغناء بهدلتي بروحك شوفي كاش حاجه اخرا اخرجيلها طاي طاي ربي يهديك يديك,1,0,0,0.505722,0.494278
ربي يجازيك استاد وجعل قبر امك روضه من رياض الجنه,1,0,0,0.504029,0.495971
alkhana mol mazda hadi srarlek lik,1,0,0,0.507756,0.492244
اه قصدك الاخرار تفوه عليك,1,0,0,0.509252,0.490748
مش لازم غني هكاك بعد,0,1,0,0.496574,0.503426
de khra,1,0,0,0.508272,0.491728
مستوى منحط هزيل اهدو يسمو معارضين همكم الوحيد الجيش ثما الجبش حفظ الله لجزائر جيش ارض شعب من مكركم تحيا لجيش الشعب يقول تحيا لجيش,1,0,0,0.500972,0.499028
زل كيما نتا يهدر معطوب تاع زبي,1,0,0,0.505279,0.494721
اشتريت جهاز مبرد براند بصح ابردش,0,1,0,0.492038,0.507962
كلاو مسحو المرميطه من بعد حصلوها فالكاسكيطه واعرين اصحاب الفرشيطه ولا نزيد نرسملك,1,0,0,0.510956,0.489044
مقستهاش كامل مدولو الفين نحي هدا المنشور زعما دي زاجيريا اك شايف,1,0,0,0.504556,0.495444
البلاد راحت في زبي,1,0,0,0.50119,0.49881
مالغري ما نحملهاش بصح والله غير كلامها كله صح لي سخنتلهم الفرفاره غير لي حسوها في جنابهم👌,1,0,0,0.517438,0.482562
اخمج امراه هذي تفوه ياوحد الخامجه الفايحه المترجله اله ماتستحقين اله يقسم ظهرك كلبه,1,0,0,0.505728,0.494272
kolchi yajabdeh zitout makanch laab maah,0,1,0,0.49979,0.50021
بالنسبه لناس الي تادفع ربراب بحجه توفيره لمناصب شغل سجنه سيجعل الاف الناس بطاله ويقولك ماغاضنيش ربراب غاضوني الناس الي تقطع رزقها نقولهم كيما قولتو لبوليسي نحي الكاسكيطا وارواح معانا وقلتولو خاوه خاوه والرزق ربي نقولكم ربراب يتحاسب وخاوه خاوه والرزق ربي واذا مانصب الشغل حداد تاني موفر مناصب شغل وكونيناف موفر مناصب شغل تاني ماغاضنيش البوشي غاضوني الناس الي كانو يخدمو معاه ويبيعو فالكوكاين وماغاضنيش الصراف تاع الزطله غاضوني الناس الي تبيع بالطرف وتسترزق منو,1,0,0,0.509592,0.490408
ادريس undefined خمم,0,1,0,0.489936,0.510064
حداد اخذ اضعاف المبلغ,0,1,0,0.494807,0.505193
الوزير هو من تسبب في نوم لقمان 😁,0,1,0,0.49814,0.50186
الرزق ربي مش ربراب,0,1,0,0.498882,0.501118
يماك تبول واقفه وطوع فالبول ادمنماقستهاش فالانديه سي القهوي بلاك النادي لي تحبو معندوش لقب كاس الجمهوريه,1,0,0,0.514364,0.485636
يالمنافقين,1,0,0,0.500366,0.499634
نتا باينه خدعاتك مدامتك معا يلبس لاكوست,1,0,0,0.513892,0.486108
tezz,1,0,0,0.502766,0.497234
الف مبروك ومزيد من النجاحات والتوفيق انت مفخره للشباب الجزائري,0,1,0,0.486235,0.513765
روحي توبي يا عجوزه شمطاء الله يهديك لا صوت ولا مظهر مهزله,1,0,0,0.522396,0.477604
بغيت زعمه😂,0,1,0,0.492847,0.507153
روحو تقودو نتوم كنتو تلعبو في عره تاع هذا احتراف روحو تقودو زعما هما كانو يلعبو في ابطوله تاع انكليز,1,0,0,0.508009,0.491991
شيعه ولات عندها جمهورها وراهم داروا لا بعد والله نعيشوكم المرار غير نديروكم من المعذبين في ارض انتم تحقرون الاسلام في جميع اركان العالم ونحن نحقر جميع ديانات غير الاسلام,1,0,0,0.518829,0.481171
ختك لي هناك🙄,1,0,0,0.50271,0.49729
احنا ناكلوا الكسكس والشخشوخ الفريث تديرولك القاوريه انتاعك يا ديوث,1,0,0,0.514086,0.485914
يجب اضافه السبت لحراك راحه الناس اتوا باليهودي المسمي العربي بلخير قصر المراديه التسعينات باش يخدعوكش واسمه الحقيقي مهيمنا القمح الجزاءري,0,1,0,0.484552,0.515448
افهم تناقضتهم كيف التحالف يضرب داعش سوريا العراق جوا ارض مكشوفه فيهرب الفيروس ليبيا لماذا لكي ينتقم دوله اسلاميه عربيه سنيه الاولي مقاتله يقاتلونه فداعش صناعه امريكيه اسرايليه ارانيه الامه الاسلاميه العربيه السنيه ونحن الشعب الجزايري جيشنا خندق وسنقطع ايدهم ادا مست دره بلادنا المخضب بدما الشهدا,0,1,0,0.499306,0.500694
الشرطه لي حطيتو لهم الصحون تاع الكاشير في الارض وسميتوهم كلاب ياخونه,1,0,0,0.5231,0.4769
عبلويه 10😵,1,0,0,0.512049,0.487951
بات بريزي,0,1,0,0.48707,0.51293
نعتذر اخي لا توجد,0,1,0,0.491591,0.508409
ماشاء الله تعليقات تليق بك ايها الرويبضه يا زنديق,1,0,0,0.511494,0.488506
سحب الجنسيه الجزاءريه منهم واله مسءلين حمير,1,0,0,0.509321,0.490679
الشعب قال له نريد رب الدزاير في الحراش,1,0,0,0.508931,0.491069
bayen dhork rak hawass kifach tlazag zelzla nidham 😂,0,1,0,0.494142,0.505858
جنسيه بريطانيا,0,1,0,0.493962,0.506038
16 جيقا ويقلك ستوكي ياناس العلم راهم لحقو 28 جيقا وحنايا مازال في عليها مازلنا روطار,1,0,0,0.509535,0.490465
نتا مشفتش فريت اوملات بالبطاطا يا البغل,1,0,0,0.506954,0.493046
وجوه النم,1,0,0,0.500973,0.499027
اين قايد صالح اراه,0,1,0,0.49572,0.50428
الجزاءر ماشي جديده قديمه وفيها السيراج حكايه الزيت والغلي البكري ماشي برنامج نتاع فرنسا مزال يمشوا بيه والضحيه الشعب,0,1,0,0.499857,0.500143
المقاطعه هي حل عقابي يستجيب له التاجر الذي يحترم مستهلك بضاعته ويتجاهله التاجر الفرعون النازي الذي يرى نفسه من سلاله الالههو,0,1,0,0.49342,0.50658
من حراش,0,1,0,0.482414,0.517586
كيف يمكنني الاتصال بكم انا مسؤول بقناه الجوهره تي في الجزائريه وهي قناه مخصصه للمراه الجزائريه 90 بالمئه من برامجها طبخ لدينا العديد من العروض التي تهمكم اتصلوا بنا على الرقم 6748,0,1,0,0.492443,0.507557
حياك اله استاذ العربي زيتوت,0,1,0,0.499188,0.500812
نرجعو لمقوله ديدين فوك المروك ومحمد السيس نهار دار غنيه تع فوك لافرونس بلاتوني تع البياسجي,1,0,0,0.508157,0.491843
الولين غالين والثانين مايسمعوش بيك بلي كاين فالخريطه والثالثين انجبو رجال المدرجات ونتا مزالك تمنيك,1,0,0,0.500771,0.499229
كاش حمار ينيك مشي خيرلك ياوحد الخامجه,1,0,0,0.501416,0.498584
ta tahder 3la usma pff bayna debrech,1,0,0,0.511005,0.488995
اوا نتوما الكبده تخرجو منها العضم ناس راهي تبني تعلي ناس لحقت لقمر نتوما تعسو في لالهه ديجا رانا مسلمين انا قبايلي مسلم اطورو لله لا تربحكم ضحكتو علينا الجناس,1,0,0,0.514044,0.485956
روح اله يذلك با وجه البخس نتا ماراح يصوتو المخنثين,1,0,0,0.50795,0.49205
درك بنادم فتنه واش تعرفوا مليح,1,0,0,0.511654,0.488346
وعلاه ماديرش ابوني تفرحني,0,1,0,0.499133,0.500867
خليو العداله تحكم واش يكون ربراب هذا ملاك معلابلناش,1,0,0,0.511705,0.488295
دوله عسكريه مدنيه عاش جنرالات الجزاءر 🇩🇿,0,1,0,0.488125,0.511875
نتا اكبر كعبه يا حتشون يماك كافي مبعر,1,0,0,0.511475,0.488525
علاه تحبو طلعو علامكم بلقبايل لي يحب التفاعل برك يهدر على شواكرو نقعدو عقدتكم شواكركم الى يوم الدين ☺️,1,0,0,0.509987,0.490013
wach dakhal mouloudia nik 3amak nta wa7ed mhadouk li mayakhirjich lbara ou tabou tio m9wadin fcb balak darkom ou mayaarfoukch ya zbi,1,0,0,0.503352,0.496648
سعر مكيف,0,1,0,0.493859,0.506141
وين,0,1,0,0.487226,0.512774
نت دارولك خماج نتاع الفتنه,1,0,0,0.500665,0.499335
عنصرين,1,0,0,0.514891,0.485109
نيكو برك نهار كامل انتوما تلقيو في خلايقكم فاليوتيوب تلبسو ليلونتي طلسو وجوهكم بالمكياج تلقاكم تعملو فالفتنه قحاب بلا حكم,1,0,0,0.51103,0.48897
حمار كان جاء بنادم نتا هو تسما ماشي بنادم ان شاء الله موت لك لزطوط,1,0,0,0.516924,0.483076
القباءل راهم يلعبو بنار داهم نيفف علي ربراب سراق ميزان تاع سكر,1,0,0,0.500673,0.499327
السمينه شعلها جاءكم فاسق بنبا اله ينوضلك الشعر راسك سمانه اتزيد تفرطس,1,0,0,0.514796,0.485204
السلام عليمك,0,1,0,0.496344,0.503656
شنوي 💚❤ معجبكش حال نكمك تالي,1,0,0,0.50949,0.49051
راك دير فالفتنه اوماتربح صبعي الوصطاني تقعد عليه,1,0,0,0.514958,0.485042
لازم اضراب قطاعات حساسه في دوله مثل سونطراك نقل موانئ كل مؤسسات الدوله,0,1,0,0.495823,0.504177
صفحه عنصريه ب👍متياز,1,0,0,0.50199,0.49801
نعلبو جد يمات بوك الحلوف يا وجوه لخري ميكروب يا الزح وجه الترمه,1,0,0,0.504511,0.495489
ربي يحفظك اخينا العربي زيتوت واصل انشاء الله حتى تسقط العصابه,1,0,0,0.513765,0.486235
يشكب يتزوج ويزيد يجيب خمسين طفل من فوق من شده الكبت وكي تخلاص عليه يقولك كفاه,1,0,0,0.510077,0.489923
chbi rbk thki 3la mouloudia ya kba yakhi kba,1,0,0,0.512184,0.487816
واله نت عايش فخانس راك غاي الاها روحك حنا رانا غاي,1,0,0,0.509624,0.490376
السبب تع هادو قاع ربراب هو لي زاد في السردين او السيارات هو العصابه تع قاع المنتوجات كشيريست,1,0,0,0.502508,0.497492
احذركم اخواني باتلاعب باروحكم الصنع الوطني حتي ادني شروط الامن لمراقبه وزاره التجاره,1,0,0,0.504929,0.495071
nhebb mouloudia yedaq fih wnehi ze bi mla page taek ya drarri tae ze,1,0,0,0.524767,0.475233
mouka3ab ya zebi thki crb ya zamel,1,0,0,0.50608,0.49392
نشرها غاليه احسن من يمدوهالي باطل في مخيمات الاجئين يالخاين,1,0,0,0.511232,0.488768
اسبوعين ماكاش رد ولو كان قلنا نجو يقلك استنى روندفو,0,1,0,0.496423,0.503577
تمهيد,0,1,0,0.487234,0.512766
صحا قوادتك,1,0,0,0.510421,0.489579
روح نك مك,1,0,0,0.524965,0.475035
روح تقود كي نتا كي سكولز الفاشل تاعك الناس تخدم تتعب في الميدان ونتو ريحو كي طيابات الحمام غير اللسان الطويل,1,0,0,0.512258,0.487742
yazebi mi nta habes likima nta linako leblad yazebi,1,0,0,0.502054,0.497946
روح يا حزب الكاشير حزب الفاسد واش ما تفهم لا للانتخابات يا العصابات,1,0,0,0.507429,0.492571
رشيد نكاز ذباب الكتروني راه دخلوه العصابه روح وحدك يا نقاز لمراديه الشغب فهم الدرس يذهب المراديه ابدا,1,0,0,0.506471,0.493529
زعما راح يديرو فلم بطله معصوم الوسواس متاكد راح يربح الاوسكار,0,1,0,0.494605,0.505395
مزالو يدور كيما قال واحد هنا ادي حكايتك روح يالجيفه بهلول انسانا شويه برك خلينا نعيشو في امان وقيله خلصولك دراهم حنا هنا نعيشو انت اقعد تم واحكي عيب علينا نقولو من الجزائر واحد كيما انت ربي يهدك اخطينا لي واجه الله يسلط عليك لي مايخاف ربي,1,0,0,0.524005,0.475995
خاوتي حذاري الذباب الالكتروني لي يدير الفتنه😉,1,0,0,0.505155,0.494845
ما تحرشوش بلبنات يتحرشو بولد يا وحد الكذاب,1,0,0,0.514785,0.485215
واش هدي مهزل تعا خوتي برك مستعرف فريق تونس قوي بزف وحنا مكنش,0,1,0,0.4919,0.5081
ال تحلب ولا يهدر معطوب,1,0,0,0.504728,0.495272
بوصبع لزرق المذلول يجي لصفحه زيطوط امير ديزاد يسبو كانهم هم المسؤولين 🙄😏,1,0,0,0.502563,0.497437
الكلب انت تمثل فءه الجزاءر الهدره الزواف المبردعين يالخاين الجزاءر شعبها كبيره انت تمثل الجزاءر شعبها احب احب كرها كره,1,0,0,0.514016,0.485984
nik hatchoune yemak,1,0,0,0.506976,0.493024
شوف تاع بطس انانيش تكلاشيهم مايردولكش بالتطياح وتاع فري فاير اطفال وتاع بيلي ايليش عميقين مايدوهاش فيك بصح يا الهك تخلط تاع المولوديه روحك باش تسمع ياك رهج يخلط فيهم المهبول لي كلاتو,1,0,0,0.523258,0.476742
امين اخوتي فرحتوني بدعائكم,0,1,0,0.490956,0.509044
بصح مارديتش السءال,0,1,0,0.496562,0.503438
تعريف الجزائري هذا,0,1,0,0.476428,0.523572
راك غير دير فالفتنه اوماتربح غير صبعي الوصطاني تقعد علييه,1,0,0,0.503433,0.496566
نتا منين يرحم باباك,0,1,0,0.493182,0.506818
نوض هز قلايطك جسم فاني وحياه فانيه يتزوج يخدم قدو حالتو مش لازم قاع ديك اشياء,1,0,0,0.51391,0.48609
rouh t9awa,1,0,0,0.508958,0.491042
كي تكون نتا تقسم فل الارزاق قلهم ميولدوش,1,0,0,0.50734,0.49266
البنه رهي كامل فرماج فريكو,0,1,0,0.488386,0.511614
