texte,vrai_label,label_predit,est_correct,score_decision,probabilite_haine,probabilite_non_haine
سليل الجيش الفرنسي البيجاري كانو يرقدو بالبيجامه ويتقهواو بالكروصان,1,0,False,-0.9836842794835478,0.27216135407677466,0.7278386459232253
na3lato elah alyk,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
الله يربحهم,1,0,False,-0.7009364855593827,0.331604629640678,0.668395370359322
pidé,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
islamya matchi zwafia,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
ilha allah matoub rasoul allah,1,0,False,-0.7290263563367732,0.3254084231713963,0.6745915768286037
رح ينكحنا بلكورونا,1,0,False,-1.0630120273810426,0.2567342732385816,0.7432657267614184
تمنقيش,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
brouhak ahh lkhanaz takhdam sarver restaurent tsarbi loubya fret bal bayd ahh tahan na3arfouk raya ahh roubi min jit man dawarkom layoun turke fa 20 ahh jayah,1,0,False,-0.2678091818326496,0.43344501655368844,0.5665549834463115
مطاطيطك,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
احمار اعطولوا ورده اشمها كلاها فريت اوملاط بالبيض,1,0,False,-1.0761422329498154,0.2542367572286663,0.7457632427713337
نتما لفوطيتو تربحو شعر منا حتا تخلاص دنيا ومعا لوقت تحسو درتو صبع لروحكم,1,0,False,-0.417399248804332,0.39713925424024815,0.6028607457597519
matoub radiya 3anhoo ❤️,1,0,False,-0.7186303987805598,0.3276946497259476,0.6723053502740524
10 كذابين,1,0,False,-0.2637415473419486,0.43444417643791255,0.5655558235620874
حداد ربراب كونيناف اويايا والقائمه مفتوحه هاذوا يعتبروا اظافر التنين الاجنحه عداله مصداقيه سيصلون اليهم,1,0,False,-0.23407544514318473,0.4417468765718731,0.5582531234281269
اقتلوهم يتكاثرو,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
smhli bsh g3rtha 😢,1,0,False,-0.4836874284819359,0.3813817715734422,0.6186182284265578
كذبون العمر,1,0,False,-0.3007438168572141,0.4253756610513847,0.5746243389486153
😑👎,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
keshma darolk mouloudia beyna 🌶,1,0,False,-0.7297322652564717,0.32525348271373095,0.674746517286269
صراحه اتابع المخلوقه ظنا مني انها جزائريه فحله حره لكني اكتشفت انها جاهله وغير واعيه همها محاربه المعارضه وخاصه زيتوت وامير ديزاد ورشاد والتيار الاسلامي وتقسيم الحراك ابواب القنصليه تغلق وجهها اصبح القنصل يستقبلها لحظه لتتلقى الاوامر لضرب الحراك والتحدث بطريقه بذيئه امير دي زاد بزعم طعاي وامه حقبه وتحلم يرد عليها امير فتشتهر امير اشرف ولم يرد عليها وعلى تفاهاتها وقخوبيتها فعلا لقد صارت ممله وتافهه ووجه شر وتهدد امير بان تذهب اليه لتضربه يوجد احرار لايقاف الخامجه اللقيطه حدها,1,0,False,-0.1544274410994364,0.46146968136316385,0.5385303186368362
مانيش فاهم تبعوا بغ الح ديزادقالك عندو شهاده صحفي ومعترف الاتحاد الاوروبيحتى سلمنا جدلا الامر حقيقهفيقوا المب رد عونكيف حصل عليهاالم يتحصل عليها رن سا المج رم العد وه الاولى للجزائر يينهنا تفهم شيء وتدرك تمام الادراك امير ديزاد عم يل لديهم مجرد دق يضربون امننا وامتنالن ترضى عنك اليهود والنصارى تتبع ملتهمفيق اب ريق,1,0,False,-0.9971771939974718,0.26949678057044735,0.7305032194295527
خلطتي باصيتي يالفايحه,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
7🤣,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
سمن هز الصحه الجرثومه,1,0,False,-1.481804006650453,0.18515508936611041,0.8148449106338895
الله يعميكم الجزائر,1,0,False,-0.9132529992699454,0.2863346344781773,0.7136653655218227
المشكل الامور سيئ اسوء رجعت ازمه السيوله زيد الانترنت بالجمعه صراحه اتساءل الدوله,1,0,False,-0.22256553916931054,0.4445871680717046,0.5554128319282954
الله يمسخكم غشاشين,1,0,False,-0.7009364855593827,0.331604629640678,0.668395370359322
وزير تقول قردقود,1,0,False,-0.6381158882951783,0.34567256951183084,0.6543274304881692
اخوااني القباائل ليسو الكل لان القباائل احراار ورجاال طينه الكباار اتحدث يداافعون ربراب ثااني ملياردير عربي قدم مااهي المشااريع التى استفدتم ياانااس رااه رجل فااسد يخدم المشرووع الفرنسي يريد تقسيمنا حذااري حذااري,1,0,False,-0.6165388784034288,0.3505690381966749,0.6494309618033252
le3erebe yebe9awe neocha heta leyome,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
حبيبنا مرب نعبد ربي خلقني نعبد فري فاير مريض,1,0,False,-0.4106698702646998,0.3987515097103514,0.6012484902896487
azbi t3rf l9bayl dija ain jaya,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
قيم الرجوله اراوح للعاصمه الزاوف للحراك,1,0,False,-0.9342216274630494,0.28206902325357025,0.7179309767464297
dakhalk,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
دواسا فارغين زوبعه فنجان جريقه لابتزاز الاحرار,1,0,False,-0.30387020644680585,0.42461165273628654,0.5753883472637135
ولات يخرج شرذمه جديد😵,1,0,False,-0.9525059737689267,0.27838112977272556,0.7216188702272744
🙂😉,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
قلتلكم بطاطا خشينه,1,0,False,-0.18518801891203862,0.4538348545316144,0.5461651454683856
نيكوه,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
عفن السلام,1,0,False,-1.8238432188446287,0.1389733559058015,0.8610266440941985
يقصف يبالي,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
خطونا,1,0,False,-0.10828658132131663,0.4729547771597778,0.5270452228402223
bditou fl 3onsoriya wl fitena,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
لقبايل رجاله تحيا القبايل,1,0,False,-0.611719864776242,0.3516669734064702,0.6483330265935299
ahachemi yakalba wache donné os ch,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
💚❤,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
وناك القضيه الفلسطينيه,1,0,False,-1.49406982246819,0.18331165497541876,0.8166883450245812
روحو شوفو الميز داير لخرا,1,0,False,-0.1844647454565138,0.4540141374186116,0.5459858625813885
وايدكم فييه 🖕😂,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
حماره بغله يقره,1,0,False,-0.2831132689710362,0.42969068253365006,0.5703093174663499
يقحببه,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
نيكماتكم تجراتم,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
reh chef,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
واله ماتحشم,1,0,False,-0.7308402210297373,0.3250103737840208,0.6749896262159791
كلشي مبروك وعقابهم جيسكوبو,1,0,False,-1.6554613626296568,0.16037219623925014,0.8396278037607499
نكحتهم,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
contre na7i hedik teswira te3 siyadek المتصدر ⚪🔴,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
المبلغ هادا حكمو حداد صرف رقيق ارهابي,1,0,False,-0.3917808998104616,0.4032886589421541,0.596711341057846
طر طر الهى روحك الجزائر بعيده,1,0,False,-0.06350738369401557,0.4841284881169396,0.5158715118830604
شاء الله تقومو بتلبيه الطلب,1,0,False,-0.574289093430026,0.36024772912066144,0.6397522708793386
مسيره ربراب اتفها الفكره,1,0,False,-0.40990428329701545,0.3989350724434869,0.6010649275565131
minute teeri rabna deen akhlak 91 kountou jonoud and sidkoum nazar achabouha,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
لاشك عمل كمشه الجنرالات,1,0,False,-0.4068715730997142,0.39966249592643044,0.6003375040735696
اله لاتربحهم,1,0,False,-0.6364683588396874,0.34604530742713424,0.6539546925728658
jaye7,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
mensonge koulchi makhdoum kilab sahioun,1,0,False,-1.1099172077875166,0.24788632391023416,0.7521136760897659
فريت اوملات بالبيض جديده ازبي,1,0,False,-0.13976319245775415,0.46511596807032507,0.5348840319296749
😂😁,1,0,False,-0.2833981680466412,0.4296208675338147,0.5703791324661853
الف مبروك 🎉🎊الليله يرقدو مقنوطين ✌🇩🇿,1,0,False,-0.949886040367039,0.27890774075738406,0.7210922592426159
متخافوش يشروه لعبيد نتاع الدشره,1,0,False,-0.16785257208355225,0.45813510434679144,0.5418648956532086
ماعندهمش لادال اح,1,0,False,-0.08041075461954217,0.47990813615951805,0.5200918638404819
wekhtek chekit kayna menha,1,0,False,-0.8944927917351313,0.2901835438109022,0.7098164561890978
روحو شوفو المميز undefined داير لخرا,1,0,False,-0.18328427896214228,0.45430677356193466,0.5456932264380654
نووض هز قلايطك جسم فاني وحياه فانيه يتزوج يخدم قدو حالتو ديك اشيااء,1,0,False,-0.6590694589833074,0.3409486756480366,0.6590513243519633
ال🖕بي عنكم حساسيه مولوديه ربي يجيب الشفا,1,0,False,-0.4864192613839215,0.38073746019972937,0.6192625398002707
